"filename", "language", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "HTML", "JSON", "YAML", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Max\Dev\React\bee-ware\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\Max\Dev\React\bee-ware\README.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 71
"c:\Users\Max\Dev\React\bee-ware\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Max\Dev\React\bee-ware\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Max\Dev\React\bee-ware\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4245, 0, 0, 0, 0, 0, 1, 4246
"c:\Users\Max\Dev\React\bee-ware\package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Max\Dev\React\bee-ware\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Max\Dev\React\bee-ware\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 7, 17, 195
"c:\Users\Max\Dev\React\bee-ware\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 4, 39
"c:\Users\Max\Dev\React\bee-ware\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Max\Dev\React\bee-ware\src\components\Game.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 25, 23, 178
"c:\Users\Max\Dev\React\bee-ware\src\components\background\BackgroundEffects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 2, 21
"c:\Users\Max\Dev\React\bee-ware\src\components\background\GlowOrbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Max\Dev\React\bee-ware\src\components\background\NoiseOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Max\Dev\React\bee-ware\src\components\background\Orb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 4, 37
"c:\Users\Max\Dev\React\bee-ware\src\components\background\OrbAnimations.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 5, 52
"c:\Users\Max\Dev\React\bee-ware\src\components\background\OrbContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\Max\Dev\React\bee-ware\src\components\ecs\EnemyRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 11, 11, 135
"c:\Users\Max\Dev\React\bee-ware\src\components\ecs\EntityRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 16, 14, 104
"c:\Users\Max\Dev\React\bee-ware\src\components\ecs\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 6, 4, 52
"c:\Users\Max\Dev\React\bee-ware\src\components\ecs\PlayerRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 12, 14, 141
"c:\Users\Max\Dev\React\bee-ware\src\components\ecs\ProjectileRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 5, 34
"c:\Users\Max\Dev\React\bee-ware\src\components\ui\GameOver.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 7, 8, 80
"c:\Users\Max\Dev\React\bee-ware\src\components\ui\HealthBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 5, 52
"c:\Users\Max\Dev\React\bee-ware\src\components\ui\LevelUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 7, 13, 123
"c:\Users\Max\Dev\React\bee-ware\src\components\ui\Score.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 4, 46
"c:\Users\Max\Dev\React\bee-ware\src\game\constants.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9, 6, 31
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\AIComponent.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 3, 35
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\ColliderComponent.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 14, 5, 68
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\GameStateComponent.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 24, 9, 70
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\HealthComponent.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 17, 9, 63
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\InputComponent.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 15, 7, 58
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\ProjectileComponent.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 3, 35
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\RenderComponent.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 3, 42
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\TagComponent.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 4, 30
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\TimerComponent.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 20, 10, 70
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\TransformComponent.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 3, 39
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\VelocityComponent.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 11, 5, 48
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\components\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\Component.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 17, 5, 40
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\Entity.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 32, 10, 74
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\EntityManager.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 41, 16, 114
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\EntityPool.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 50, 20, 131
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\System.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 48, 14, 96
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\World.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 55, 21, 135
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\core\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\factories\EntityFactory.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 18, 12, 130
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\factories\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\hooks\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\hooks\useECS.ts", "TypeScript", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 52, 47, 292
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\AISystem.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 26, 13, 106
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\CollisionSystem.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 37, 27, 179
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\GameStateSystem.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 55, 22, 173
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\InputSystem.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 29, 12, 83
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\MovementSystem.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 16, 8, 59
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\PlayerSystem.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 29, 15, 152
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\ProjectileSystem.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 30, 17, 142
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\RenderSystem.ts", "TypeScript", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 74, 34, 274
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\ScoreSystem.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 30, 10, 72
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\SpawnSystem.ts", "TypeScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 36, 23, 232
"c:\Users\Max\Dev\React\bee-ware\src\game\ecs\systems\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\Max\Dev\React\bee-ware\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\Max\Dev\React\bee-ware\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Max\Dev\React\bee-ware\src\types\image.d.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Max\Dev\React\bee-ware\src\types\types.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 6, 37
"c:\Users\Max\Dev\React\bee-ware\src\utils\mathUtils.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 21, 2, 34
"c:\Users\Max\Dev\React\bee-ware\src\utils\renderUtils.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 25, 3, 61
"c:\Users\Max\Dev\React\bee-ware\tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 2, 25
"c:\Users\Max\Dev\React\bee-ware\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Max\Dev\React\bee-ware\vite.config.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"Total", "-", 32, 51, 1980, 21, 13, 4286, 43, 894, 241, 2, 1004, 595, 9162
